group_1_name, tag_name, field_name
XMP-acdsee-rs,RegionInfoACDSee,RegionInfoACDSee
XMP-acdsee-rs,ACDSeeRegionAppliedToDimensions,AppliedToDimensions
XMP-acdsee-rs,ACDSeeRegionAppliedToDimensionsH,H
XMP-acdsee-rs,ACDSeeRegionAppliedToDimensionsUnit,Unit
XMP-acdsee-rs,ACDSeeRegionAppliedToDimensionsW,W
XMP-acdsee-rs,ACDSeeRegion,ACDSeeRegion
XMP-acdsee-rs,ACDSeeRegionALGArea,ALGArea
XMP-acdsee-rs,ACDSeeRegionALGAreaH,H
XMP-acdsee-rs,ACDSeeRegionALGAreaW,W
XMP-acdsee-rs,ACDSeeRegionALGAreaX,X
XMP-acdsee-rs,ACDSeeRegionALGAreaY,Y
XMP-acdsee-rs,ACDSeeRegionDLYArea,DLYArea
XMP-acdsee-rs,ACDSeeRegionDLYAreaH,H
XMP-acdsee-rs,ACDSeeRegionDLYAreaW,W
XMP-acdsee-rs,ACDSeeRegionDLYAreaX,X
XMP-acdsee-rs,ACDSeeRegionDLYAreaY,Y
XMP-acdsee-rs,ACDSeeRegionName,Name
XMP-acdsee-rs,ACDSeeRegionNameAssignType,NameAssignType
XMP-acdsee-rs,ACDSeeRegionType,Type
XMP-crd,CircularGradientBasedCorrections,CircularGradientBasedCorrections
CircGradBasedCorrActive,CorrectionActive
CircGradBasedCorrAmount,CorrectionAmount
CircGradBasedCorrMasks,CorrectionMasks
CircGradBasedCorrMaskAlpha,Alpha
CircGradBasedCorrMaskAngle,Angle
CircGradBasedCorrMaskBottom,Bottom
CircGradBasedCorrMaskCenterValue,CenterValue
CircGradBasedCorrMaskCenterWeight,CenterWeight
CircGradBasedCorrMaskRange,CorrRangeMask
CircGradBasedCorrMaskRangeAreaModels,AreaModels
CircGradBasedCorrMaskRangeAreaModelsComponents,AreaComponents
CircGradBasedCorrMaskRangeAreaModelsColorSampleInfo,ColorRangeMaskAreaSampleInfo
CircGradBasedCorrMaskRangeColorAmount,ColorAmount
CircGradBasedCorrMaskRangeDepthFeather,DepthFeather
CircGradBasedCorrMaskRangeDepthMax,DepthMax
CircGradBasedCorrMaskRangeDepthMin,DepthMin
CircGradBasedCorrMaskRangeInvert,Invert
CircGradBasedCorrMaskRangeLumFeather,LumFeather
CircGradBasedCorrMaskRangeLuminanceDepthSampleInfo,LuminanceDepthSampleInfo
CircGradBasedCorrMaskRangeLumMax,LumMax
CircGradBasedCorrMaskRangeLumMin,LumMin
CircGradBasedCorrMaskRangeLumRange,LumRange
CircGradBasedCorrMaskRangeSampleType,SampleType
CircGradBasedCorrMaskRangeType,Type
CircGradBasedCorrMaskRangeVersion,Version
CircGradBasedCorrMaskDabs,Dabs
CircGradBasedCorrMaskFeather,Feather
CircGradBasedCorrMaskFlipped,Flipped
CircGradBasedCorrMaskFlow,Flow
CircGradBasedCorrMaskFullX,FullX
CircGradBasedCorrMaskFullY,FullY
CircGradBasedCorrMaskInputDigest,InputDigest
CircGradBasedCorrMaskLeft,Left
CircGradBasedCorrMaskMaskActive,MaskActive
CircGradBasedCorrMaskMaskBlendMode,MaskBlendMode
CircGradBasedCorrMaskMaskDigest,MaskDigest
CircGradBasedCorrMaskMaskInverted,MaskInverted
CircGradBasedCorrMaskMaskName,MaskName
CircGradBasedCorrMaskMasks

